N,G,X,Y,T,
GOONjLegendXXVIII,k,224,31,22,
GOONjLegend,k,225,31,25,
GOONjLegend,k,226,31,29,
GOONjLegend,k,224,30,29,
GOONjLegend,k,225,30,30,
GOONjLegend,k,226,30,30,
GOONjLegend,k,223,29,35,
GOONjLegend,k,224,29,36,
GOONjLegend,k,225,29,37,
GOONjLegend,k,226,29,37,
GOONjLegend,k,224,28,40,
GOONjLegend,k,225,28,40,
GOONjLegend,k,226,28,44,
honey9625,k,257,29,250,
kibisu,k,155,38,487,
Tar053,k,140,26,589,
SERGEI2020 3.6,k,120,35,726,
[KOS3]redundead 3,k,105,15,837,
1 Am Legend 5.7,k,391,37,1175,
digta 4.3,k,399,54,1240,
picopicco,k,308,199,1314,
Javi14042 3.5,k,159,212,1340,
serozinc 4.7,k,28,13,1366,
TRUNGPN,k,26,18,1377,
ZIOS1908,k,25,18,1384,
devils rikis 3.6,k,108,236,1637,
misahiro 3,k,474,15,1750,
Batapon 3.2,k,484,14,1820,
Etaphramen 3.3,k,489,2,1861,
LostGrim 1.7,k,548,5,2265,
0,0,0,0,0,
